time,open,high,low,close,tick_volume,spread,real_volume
2019-01-20,1282.538,1303.585,1276.77,1303.105,8152,0,0
2019-01-27,1302.403,1326.176,1297.679,1317.652,9685,0,0
2019-02-03,1317.638,1317.886,1302.797,1313.957,9079,0,0
2019-02-10,1313.52,1322.507,1302.365,1321.083,7876,0,0
2019-02-17,1320.975,1346.657,1320.583,1327.794,7977,0,0
2019-02-24,1327.607,1332.513,1290.161,1293.279,8784,0,0
2019-03-03,1295.386,1300.681,1280.832,1298.274,8965,0,0
2019-03-10,1296.869,1311.195,1290.453,1302.208,7798,0,0
2019-03-17,1302.109,1320.305,1298.185,1313.223,8823,0,0
2019-03-24,1313.47,1324.425,1286.575,1292.057,9315,0,0
2019-03-31,1292.237,1296.942,1280.894,1291.374,9848,0,0
2019-04-07,1292.246,1310.529,1289.673,1290.433,10823,0,0
2019-04-14,1291.299,1291.907,1271.069,1275.593,9116,0,0
2019-04-21,1276.818,1288.629,1266.285,1285.879,16427,0,0
2019-04-28,1285.979,1287.164,1266.24,1278.982,8538,0,0
2019-05-05,1282.584,1291.395,1276.985,1285.684,13433,0,0
2019-05-12,1287.211,1303.24,1274.87,1277.647,9221,0,0
2019-05-19,1278.353,1287.194,1269.472,1284.805,9991,0,0
2019-05-26,1285.418,1306.834,1274.984,1305.484,8860,0,0
2019-06-02,1306.676,1348.18,1306.44,1340.699,10198,0,0
2019-06-09,1334.672,1358.042,1319.857,1341.217,11541,0,0
2019-06-16,1341.811,1411.56,1332.97,1399.452,10596,0,0
2019-06-23,1400.407,1439.001,1398.53,1409.677,20220,0,0
2019-06-30,1393.072,1437.668,1381.774,1398.739,22530,0,0
2019-07-07,1399.279,1427.032,1385.732,1415.346,16458,0,0
2019-07-14,1416.621,1452.884,1400.082,1425.402,20131,0,0
2019-07-21,1426.629,1433.723,1411.072,1418.343,12270,0,0
2019-07-28,1420.739,1447.895,1400.49,1440.772,9363,0,0
2019-08-04,1440.304,1510.312,1436.728,1497.137,15013,0,0
2019-08-11,1496.193,1534.92,1479.833,1512.967,16203,0,0
2019-08-18,1509.674,1530.178,1492.448,1526.632,14246,0,0
2019-08-25,1546.31,1554.998,1517.002,1520.228,29110,0,0
2019-09-01,1529.531,1556.943,1502.426,1506.738,16480,0,0
2019-09-08,1505.025,1524.109,1484.457,1488.691,14578,0,0
2019-09-15,1500.594,1516.923,1483.001,1516.302,19679,0,0
2019-09-22,1512.856,1535.578,1486.852,1496.761,10707,0,0
2019-09-29,1496.467,1519.49,1459.052,1504.414,15443,0,0
2019-10-06,1508.319,1516.982,1473.972,1488.118,13045,0,0
2019-10-13,1486.82,1498.345,1477.01,1490.403,13483,0,0
2019-10-20,1491.988,1517.861,1480.846,1504.378,9723,0,0
2019-10-27,1502.711,1515.894,1481.144,1514.124,9427,0,0
2019-11-03,1512.838,1514.707,1456.2,1458.48,8652,0,0
2019-11-10,1460.307,1474.549,1445.578,1466.822,8284,0,0
2019-11-17,1467.963,1478.743,1456.334,1462.093,9567,0,0
2019-11-24,1460.59,1466.444,1449.895,1463.914,8850,0,0
2019-12-01,1462.603,1483.956,1453.917,1460.693,8091,0,0
2019-12-08,1458.717,1486.641,1458.71,1476.442,8115,0,0
2019-12-15,1474.939,1481.614,1470.436,1477.567,8477,0,0
2019-12-22,1477.946,1515.222,1477.448,1510.751,19369,0,0
2019-12-29,1511.309,1553.419,1510.741,1551.883,26676,0,0
2020-01-05,1576.329,1611.365,1540.211,1561.958,30268,0,0
2020-01-12,1559.714,1561.156,1535.834,1557.33,11490,0,0
2020-01-19,1558.947,1575.728,1546.314,1571.333,9987,0,0
